"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2007-2011","Hispanic or Latino","Percent","SNAP Recipients",28.04
"Connecticut","09","2007-2011","Hispanic or Latino","Percent","Margins of Error",0.9
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",62
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",68
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",16.23
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",16.69
"Connecticut","09","2007-2011","Some Other Race Alone","Number","SNAP Recipients",17941
"Connecticut","09","2007-2011","Some Other Race Alone","Number","Margins of Error",897
"Connecticut","09","2007-2011","Some Other Race Alone","Percent","SNAP Recipients",31.54
"Connecticut","09","2007-2011","Some Other Race Alone","Percent","Margins of Error",1.33
"Connecticut","09","2007-2011","Two or More Races","Number","SNAP Recipients",3727
"Connecticut","09","2007-2011","Two or More Races","Number","Margins of Error",453
"Connecticut","09","2007-2011","Two or More Races","Percent","SNAP Recipients",20.92
"Connecticut","09","2007-2011","Two or More Races","Percent","Margins of Error",2.33
"Connecticut","09","2007-2011","White Alone","Number","SNAP Recipients",61468
"Connecticut","09","2007-2011","White Alone","Number","Margins of Error",1669
"Connecticut","09","2007-2011","White Alone","Percent","SNAP Recipients",5.5
"Connecticut","09","2007-2011","White Alone","Percent","Margins of Error",0.15
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Number","SNAP Recipients",44452
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",1497
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",4.26
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.14
"Connecticut","09","2008-2012","All","Number","SNAP Recipients",129644
"Connecticut","09","2008-2012","All","Number","Margins of Error",2421.61
"Connecticut","09","2008-2012","All","Percent","SNAP Recipients",9.53
"Connecticut","09","2008-2012","All","Percent","Margins of Error",0.18
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Number","SNAP Recipients",640
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",153
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Percent","SNAP Recipients",21.77
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Percent","Margins of Error",4.6
"Connecticut","09","2008-2012","Asian Alone","Number","SNAP Recipients",2012
"Connecticut","09","2008-2012","Asian Alone","Number","Margins of Error",311
"Connecticut","09","2008-2012","Asian Alone","Percent","SNAP Recipients",4.73
"Connecticut","09","2008-2012","Asian Alone","Percent","Margins of Error",0.73
"Connecticut","09","2008-2012","Black or African American Alone","Number","SNAP Recipients",31179
"Connecticut","09","2008-2012","Black or African American Alone","Number","Margins of Error",1194
"Connecticut","09","2008-2012","Black or African American Alone","Percent","SNAP Recipients",24.84
"Connecticut","09","2008-2012","Black or African American Alone","Percent","Margins of Error",0.91
"Connecticut","09","2008-2012","Hispanic or Latino","Number","SNAP Recipients",44055
"Connecticut","09","2008-2012","Hispanic or Latino","Number","Margins of Error",1212
"Connecticut","09","2008-2012","Hispanic or Latino","Percent","SNAP Recipients",31.08
"Connecticut","09","2008-2012","Hispanic or Latino","Percent","Margins of Error",0.78
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",106
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",98
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",17.88
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",15.67
"Connecticut","09","2008-2012","Some Other Race Alone","Number","SNAP Recipients",18502
"Connecticut","09","2008-2012","Some Other Race Alone","Number","Margins of Error",962
"Connecticut","09","2008-2012","Some Other Race Alone","Percent","SNAP Recipients",34.84
"Connecticut","09","2008-2012","Some Other Race Alone","Percent","Margins of Error",1.51
"Connecticut","09","2008-2012","Two or More Races","Number","SNAP Recipients",4325
"Connecticut","09","2008-2012","Two or More Races","Number","Margins of Error",452
"Connecticut","09","2008-2012","Two or More Races","Percent","SNAP Recipients",22.32
"Connecticut","09","2008-2012","Two or More Races","Percent","Margins of Error",2.08
"Connecticut","09","2008-2012","White Alone","Number","SNAP Recipients",72880
"Connecticut","09","2008-2012","White Alone","Number","Margins of Error",1783
"Connecticut","09","2008-2012","White Alone","Percent","SNAP Recipients",6.53
"Connecticut","09","2008-2012","White Alone","Percent","Margins of Error",0.16
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Number","SNAP Recipients",51670
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",1494
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",4.98
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.14
"Connecticut","09","2009-2013","All","Number","SNAP Recipients",144826
"Connecticut","09","2009-2013","All","Number","Margins of Error",2469.21
"Connecticut","09","2009-2013","All","Percent","SNAP Recipients",10.68
"Connecticut","09","2009-2013","All","Percent","Margins of Error",0.18
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Number","SNAP Recipients",690
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",166
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Percent","SNAP Recipients",24.24
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Percent","Margins of Error",5.29
"Connecticut","09","2009-2013","Asian Alone","Number","SNAP Recipients",1990
"Connecticut","09","2009-2013","Asian Alone","Number","Margins of Error",321
"Connecticut","09","2009-2013","Asian Alone","Percent","SNAP Recipients",4.58
"Connecticut","09","2009-2013","Asian Alone","Percent","Margins of Error",0.73
"Connecticut","09","2009-2013","Black or African American Alone","Number","SNAP Recipients",34467
"Connecticut","09","2009-2013","Black or African American Alone","Number","Margins of Error",1533
"Connecticut","09","2009-2013","Black or African American Alone","Percent","SNAP Recipients",27.12
"Connecticut","09","2009-2013","Black or African American Alone","Percent","Margins of Error",1.15
"Connecticut","09","2009-2013","Hispanic or Latino","Number","SNAP Recipients",47302
"Connecticut","09","2009-2013","Hispanic or Latino","Number","Margins of Error",1319
"Connecticut","09","2009-2013","Hispanic or Latino","Percent","SNAP Recipients",32.61
"Connecticut","09","2009-2013","Hispanic or Latino","Percent","Margins of Error",0.84
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",121
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",115
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",24.25
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",21.71
"Connecticut","09","2009-2013","Some Other Race Alone","Number","SNAP Recipients",19069
"Connecticut","09","2009-2013","Some Other Race Alone","Number","Margins of Error",1083
"Connecticut","09","2009-2013","Some Other Race Alone","Percent","SNAP Recipients",35.14
"Connecticut","09","2009-2013","Some Other Race Alone","Percent","Margins of Error",1.65
"Connecticut","09","2009-2013","Two or More Races","Number","SNAP Recipients",4991
"Connecticut","09","2009-2013","Two or More Races","Number","Margins of Error",468
"Connecticut","09","2009-2013","Two or More Races","Percent","SNAP Recipients",25.13
"Connecticut","09","2009-2013","Two or More Races","Percent","Margins of Error",2.12
"Connecticut","09","2009-2013","White Alone","Number","SNAP Recipients",83498
"Connecticut","09","2009-2013","White Alone","Number","Margins of Error",1487
"Connecticut","09","2009-2013","White Alone","Percent","SNAP Recipients",7.54
"Connecticut","09","2009-2013","White Alone","Percent","Margins of Error",0.13
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Number","SNAP Recipients",59811
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",1571
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",5.83
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.15
"Connecticut","09","2010-2014","All","Number","SNAP Recipients",157477
"Connecticut","09","2010-2014","All","Number","Margins of Error",2601.58
"Connecticut","09","2010-2014","All","Percent","SNAP Recipients",11.61
"Connecticut","09","2010-2014","All","Percent","Margins of Error",0.19
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Number","SNAP Recipients",839
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",229
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Percent","SNAP Recipients",31.54
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Percent","Margins of Error",7.73
"Connecticut","09","2010-2014","Asian Alone","Number","SNAP Recipients",2426
"Connecticut","09","2010-2014","Asian Alone","Number","Margins of Error",328
"Connecticut","09","2010-2014","Asian Alone","Percent","SNAP Recipients",5.34
"Connecticut","09","2010-2014","Asian Alone","Percent","Margins of Error",0.71
"Connecticut","09","2010-2014","Black or African American Alone","Number","SNAP Recipients",36644
"Connecticut","09","2010-2014","Black or African American Alone","Number","Margins of Error",1219
"Connecticut","09","2010-2014","Black or African American Alone","Percent","SNAP Recipients",28.88
"Connecticut","09","2010-2014","Black or African American Alone","Percent","Margins of Error",0.9
"Connecticut","09","2010-2014","Hispanic or Latino","Number","SNAP Recipients",51544
"Connecticut","09","2010-2014","Hispanic or Latino","Number","Margins of Error",1595
"Connecticut","09","2010-2014","Hispanic or Latino","Percent","SNAP Recipients",34.42
"Connecticut","09","2010-2014","Hispanic or Latino","Percent","Margins of Error",1
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",101
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",79
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",23.17
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",16.5
"Connecticut","09","2010-2014","Some Other Race Alone","Number","SNAP Recipients",19780
"Connecticut","09","2010-2014","Some Other Race Alone","Number","Margins of Error",971
"Connecticut","09","2010-2014","Some Other Race Alone","Percent","SNAP Recipients",36.55
"Connecticut","09","2010-2014","Some Other Race Alone","Percent","Margins of Error",1.47
"Connecticut","09","2010-2014","Two or More Races","Number","SNAP Recipients",5633
"Connecticut","09","2010-2014","Two or More Races","Number","Margins of Error",612
"Connecticut","09","2010-2014","Two or More Races","Percent","SNAP Recipients",26.34
"Connecticut","09","2010-2014","Two or More Races","Percent","Margins of Error",2.52
"Connecticut","09","2010-2014","White Alone","Number","SNAP Recipients",92054
"Connecticut","09","2010-2014","White Alone","Number","Margins of Error",1949
"Connecticut","09","2010-2014","White Alone","Percent","SNAP Recipients",8.33
"Connecticut","09","2010-2014","White Alone","Percent","Margins of Error",0.17
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Number","SNAP Recipients",65146
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",1830
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",6.39
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.18
"Connecticut","09","2011-2015","All","Number","SNAP Recipients",163067
"Connecticut","09","2011-2015","All","Number","Margins of Error",2568.6
"Connecticut","09","2011-2015","All","Percent","SNAP Recipients",12.06
"Connecticut","09","2011-2015","All","Percent","Margins of Error",0.19
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Number","SNAP Recipients",1070
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",204
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Percent","SNAP Recipients",34.48
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Percent","Margins of Error",5.69
"Connecticut","09","2011-2015","Asian Alone","Number","SNAP Recipients",2409
"Connecticut","09","2011-2015","Asian Alone","Number","Margins of Error",282
"Connecticut","09","2011-2015","Asian Alone","Percent","SNAP Recipients",5.14
"Connecticut","09","2011-2015","Asian Alone","Percent","Margins of Error",0.59
"Connecticut","09","2011-2015","Black or African American Alone","Number","SNAP Recipients",37647
"Connecticut","09","2011-2015","Black or African American Alone","Number","Margins of Error",1154
"Connecticut","09","2011-2015","Black or African American Alone","Percent","SNAP Recipients",29.22
"Connecticut","09","2011-2015","Black or African American Alone","Percent","Margins of Error",0.83
"Connecticut","09","2011-2015","Hispanic or Latino","Number","SNAP Recipients",53396
"Connecticut","09","2011-2015","Hispanic or Latino","Number","Margins of Error",1464
"Connecticut","09","2011-2015","Hispanic or Latino","Percent","SNAP Recipients",34.68
"Connecticut","09","2011-2015","Hispanic or Latino","Percent","Margins of Error",0.89
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",75
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",60
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",20.27
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",15.2
"Connecticut","09","2011-2015","Some Other Race Alone","Number","SNAP Recipients",19398
"Connecticut","09","2011-2015","Some Other Race Alone","Number","Margins of Error",928
"Connecticut","09","2011-2015","Some Other Race Alone","Percent","SNAP Recipients",36.14
"Connecticut","09","2011-2015","Some Other Race Alone","Percent","Margins of Error",1.49
"Connecticut","09","2011-2015","Two or More Races","Number","SNAP Recipients",5462
"Connecticut","09","2011-2015","Two or More Races","Number","Margins of Error",603
"Connecticut","09","2011-2015","Two or More Races","Percent","SNAP Recipients",24.83
"Connecticut","09","2011-2015","Two or More Races","Percent","Margins of Error",2.48
"Connecticut","09","2011-2015","White Alone","Number","SNAP Recipients",97006
"Connecticut","09","2011-2015","White Alone","Number","Margins of Error",1979
"Connecticut","09","2011-2015","White Alone","Percent","SNAP Recipients",8.84
"Connecticut","09","2011-2015","White Alone","Percent","Margins of Error",0.18
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Number","SNAP Recipients",67975
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",1910
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",6.74
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.19
"Connecticut","09","2012-2016","All","Number","SNAP Recipients",168393
"Connecticut","09","2012-2016","All","Number","Margins of Error",2582.41
"Connecticut","09","2012-2016","All","Percent","SNAP Recipients",12.43
"Connecticut","09","2012-2016","All","Percent","Margins of Error",0.19
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Number","SNAP Recipients",1038
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",234
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Percent","SNAP Recipients",33.48
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Percent","Margins of Error",6.47
"Connecticut","09","2012-2016","Asian Alone","Number","SNAP Recipients",2658
"Connecticut","09","2012-2016","Asian Alone","Number","Margins of Error",344
"Connecticut","09","2012-2016","Asian Alone","Percent","SNAP Recipients",5.5
"Connecticut","09","2012-2016","Asian Alone","Percent","Margins of Error",0.7
"Connecticut","09","2012-2016","Black or African American Alone","Number","SNAP Recipients",37898
"Connecticut","09","2012-2016","Black or African American Alone","Number","Margins of Error",1104
"Connecticut","09","2012-2016","Black or African American Alone","Percent","SNAP Recipients",29.14
"Connecticut","09","2012-2016","Black or African American Alone","Percent","Margins of Error",0.75
"Connecticut","09","2012-2016","Hispanic or Latino","Number","SNAP Recipients",55240
"Connecticut","09","2012-2016","Hispanic or Latino","Number","Margins of Error",1478
"Connecticut","09","2012-2016","Hispanic or Latino","Percent","SNAP Recipients",34.8
"Connecticut","09","2012-2016","Hispanic or Latino","Percent","Margins of Error",0.86
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",89
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",66
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",24.86
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",16.96
"Connecticut","09","2012-2016","Some Other Race Alone","Number","SNAP Recipients",19270
"Connecticut","09","2012-2016","Some Other Race Alone","Number","Margins of Error",925
"Connecticut","09","2012-2016","Some Other Race Alone","Percent","SNAP Recipients",36.09
"Connecticut","09","2012-2016","Some Other Race Alone","Percent","Margins of Error",1.46
"Connecticut","09","2012-2016","Two or More Races","Number","SNAP Recipients",5741
"Connecticut","09","2012-2016","Two or More Races","Number","Margins of Error",566
"Connecticut","09","2012-2016","Two or More Races","Percent","SNAP Recipients",24.88
"Connecticut","09","2012-2016","Two or More Races","Percent","Margins of Error",2.19
"Connecticut","09","2012-2016","White Alone","Number","SNAP Recipients",101699
"Connecticut","09","2012-2016","White Alone","Number","Margins of Error",2024
"Connecticut","09","2012-2016","White Alone","Percent","SNAP Recipients",9.28
"Connecticut","09","2012-2016","White Alone","Percent","Margins of Error",0.18
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Number","SNAP Recipients",70595
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",1785
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",7.04
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.18
"Connecticut","09","2013-2017","All","Number","SNAP Recipients",169048
"Connecticut","09","2013-2017","All","Number","Margins of Error",2763.1
"Connecticut","09","2013-2017","All","Percent","SNAP Recipients",12.41
"Connecticut","09","2013-2017","All","Percent","Margins of Error",0.2
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","SNAP Recipients",933
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",216
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Percent","SNAP Recipients",29.84
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Percent","Margins of Error",5.98
"Connecticut","09","2013-2017","Asian Alone","Number","SNAP Recipients",2953
"Connecticut","09","2013-2017","Asian Alone","Number","Margins of Error",410
"Connecticut","09","2013-2017","Asian Alone","Percent","SNAP Recipients",5.84
"Connecticut","09","2013-2017","Asian Alone","Percent","Margins of Error",0.8
"Connecticut","09","2013-2017","Black or African American Alone","Number","SNAP Recipients",36894
"Connecticut","09","2013-2017","Black or African American Alone","Number","Margins of Error",1166
"Connecticut","09","2013-2017","Black or African American Alone","Percent","SNAP Recipients",28.18
"Connecticut","09","2013-2017","Black or African American Alone","Percent","Margins of Error",0.83
"Connecticut","09","2013-2017","Hispanic or Latino","Number","SNAP Recipients",55831
"Connecticut","09","2013-2017","Hispanic or Latino","Number","Margins of Error",1643
"Connecticut","09","2013-2017","Hispanic or Latino","Percent","SNAP Recipients",33.95
"Connecticut","09","2013-2017","Hispanic or Latino","Percent","Margins of Error",0.93
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",124
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",119
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",36.47
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",30.91
"Connecticut","09","2013-2017","Some Other Race Alone","Number","SNAP Recipients",19926
"Connecticut","09","2013-2017","Some Other Race Alone","Number","Margins of Error",1061
"Connecticut","09","2013-2017","Some Other Race Alone","Percent","SNAP Recipients",35.76
"Connecticut","09","2013-2017","Some Other Race Alone","Percent","Margins of Error",1.53
"Connecticut","09","2013-2017","Two or More Races","Number","SNAP Recipients",5548
"Connecticut","09","2013-2017","Two or More Races","Number","Margins of Error",460
"Connecticut","09","2013-2017","Two or More Races","Percent","SNAP Recipients",22.94
"Connecticut","09","2013-2017","Two or More Races","Percent","Margins of Error",1.63
"Connecticut","09","2013-2017","White Alone","Number","SNAP Recipients",102670
"Connecticut","09","2013-2017","White Alone","Number","Margins of Error",2170
"Connecticut","09","2013-2017","White Alone","Percent","SNAP Recipients",9.36
"Connecticut","09","2013-2017","White Alone","Percent","Margins of Error",0.2
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","SNAP Recipients",71547
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",1737
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",7.15
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.17
"Connecticut","09","2014-2018","All","Number","SNAP Recipients",167022
"Connecticut","09","2014-2018","All","Number","Margins of Error",2502.85
"Connecticut","09","2014-2018","All","Percent","SNAP Recipients",12.21
"Connecticut","09","2014-2018","All","Percent","Margins of Error",0.18
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Number","SNAP Recipients",987
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",213
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Percent","SNAP Recipients",27.95
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Percent","Margins of Error",4.93
"Connecticut","09","2014-2018","Asian Alone","Number","SNAP Recipients",3110
"Connecticut","09","2014-2018","Asian Alone","Number","Margins of Error",362
"Connecticut","09","2014-2018","Asian Alone","Percent","SNAP Recipients",5.98
"Connecticut","09","2014-2018","Asian Alone","Percent","Margins of Error",0.69
"Connecticut","09","2014-2018","Black or African American Alone","Number","SNAP Recipients",35666
"Connecticut","09","2014-2018","Black or African American Alone","Number","Margins of Error",1056
"Connecticut","09","2014-2018","Black or African American Alone","Percent","SNAP Recipients",27.06
"Connecticut","09","2014-2018","Black or African American Alone","Percent","Margins of Error",0.73
"Connecticut","09","2014-2018","Hispanic or Latino","Number","SNAP Recipients",57409
"Connecticut","09","2014-2018","Hispanic or Latino","Number","Margins of Error",1313
"Connecticut","09","2014-2018","Hispanic or Latino","Percent","SNAP Recipients",33.66
"Connecticut","09","2014-2018","Hispanic or Latino","Percent","Margins of Error",0.69
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",165
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",150
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",36.18
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",29.03
"Connecticut","09","2014-2018","Some Other Race Alone","Number","SNAP Recipients",21201
"Connecticut","09","2014-2018","Some Other Race Alone","Number","Margins of Error",990
"Connecticut","09","2014-2018","Some Other Race Alone","Percent","SNAP Recipients",36.95
"Connecticut","09","2014-2018","Some Other Race Alone","Percent","Margins of Error",1.36
"Connecticut","09","2014-2018","Two or More Races","Number","SNAP Recipients",5492
